,"FIRST AUTHOR","PUB DATE","LINK TO Preprint","LINK TO PUB","doi","NOT open","OPEN","changedopenstatus","PROJECT","SFB Website","HU BOX","REPOSITORY LINK","is_oa","authorl",,"url","issued","not only PI","at least 2 authors from sfb, not same AG"
"18","Jouhanneau J.S.","NA","https://www.biorxiv.org/content/10.1101/516708v2","https://www.frontiersin.org/articles/10.3389/fnsyn.2019.00015/full","10.3389/fnsyn.2019.00015","0","1","NA","A05","y","y","https://www.biorxiv.org/content/10.1101/516708v2","TRUE","Jean-Sébastien Jouhanneau, James F. A. Poulet","James F. A. Poulet","http://dx.doi.org/10.3389/fnsyn.2019.00015","2019-05-16",0,0
"19","Koren V.","NA","https://www.biorxiv.org/content/10.1101/643668v2","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0222649","10.1371/journal.pone.0222649","0","1","NA","B03","y","y","https://www.biorxiv.org/content/10.1101/643668v2","TRUE","Veronika Koren, Ariana R. Andrei, Ming Hu, Valentin Dragoi, Klaus Obermayer","Klaus Obermayer","http://dx.doi.org/10.1371/journal.pone.0222649","2019-10-17",0,0
"20","Koren V.","43840","https://www.biorxiv.org/content/10.1101/2020.01.10.901504v2","NA","10.1101/2020.01.10.901504","0","1","NA","B03","y","Preprint","https://www.biorxiv.org/content/10.1101/2020.01.10.901504v1.full.pdf","TRUE","Veronika Koren, Ariana R. Andrei, Ming Hu, Valentin Dragoi, Klaus Obermayer","Klaus Obermayer","http://dx.doi.org/10.1101/2020.01.10.901504","2020-01-10",0,0
"23","Lucchese G.","NA","NA","https://www.frontiersin.org/articles/10.3389/fneur.2019.00469/full","10.3389/fneur.2019.00469","0","1","NA","B03","y","y","-","TRUE","Guglielmo Lucchese, Agnes Flöel, Benjamin Stahl","Agnes Flöel","http://dx.doi.org/10.3389/fneur.2019.00469","2019-05-14",0,0
"24","Mak C.","NA","NA","https://academic.oup.com/brain/article-abstract/143/1/55/5675541?redirectedFrom=fulltext","10.1093/brain/awz379","1","0","1","B04","y","y","-","FALSE","Christopher C Y Mak, Dan Doherty, Angela E Lin, Nancy Vegas, Megan T Cho, Géraldine Viot, Clémantine Dimartino, James D Weisfeld-Adams, Davor Lessel, Shelagh Joss, Chumei Li, Claudia Gonzaga-Jauregui, Yuri A Zarate, Nadja Ehmke, Denise Horn, Caitlin Troyer, Sarina G Kant, Youngha Lee, Gisele E Ishak, Gordon Leung, Amanda Barone Pritchard, Sandra Yang, Eric G Bend, Francesca Filippini, Chelsea Roadhouse, Nicolas Lebrun, Michele G Mehaffey, Pierre-Marie Martin, Benjamin Apple, Francisca Millan, Oliver Puk, Mariette J V Hoffer, Lindsay B Henderson, Ruth McGowan, Ingrid M Wentzensen, Steven Pei, Farah R Zahir, Mullin Yu, William T Gibson, Ann Seman, Marcie Steeves, Jill R Murrell, Sabine Luettgen, Elizabeth Francisco, Tim M Strom, Louise Amlie-Wolf, Angela M Kaindl, William G Wilson, Sara Halbach, Lina Basel-Salmon, Noa Lev-El, Jonas Denecke, Lisenka E L M Vissers, Kelly Radtke, Jamel Chelly, Elaine Zackai, Jan M Friedman, Michael J Bamshad, Deborah A Nickerson, Russell R Reid, Koenraad Devriendt, Jong-Hee Chae, Elliot Stolerman, Carey McDougall, Zöe Powis, Thierry Bienvenu, Tiong Y Tan, Naama Orenstein, William B Dobyns, Joseph T Shieh, Murim Choi, Darrel Waggoner, Karen W Gripp, Michael J Parker, Joan Stoler, Stanislas Lyonnet, Valérie Cormier-Daire, David Viskochil, Trevor L Hoffman, Jeanne Amiel, Brian H Y Chung, Christopher T Gordon, NA NA","Angela M. Kaindl","http://dx.doi.org/10.1093/brain/awz379","2019-12-13",0,0
"25","McColgan T.","NA","NA","https://journals.physiology.org/doi/full/10.1152/jn.00648.2017","10.1152/jn.00648.2017","0","1","1","B01","y","y","-","TRUE","Thomas McColgan, Paula T. Kuokkanen, Catherine E. Carr, Richard Kempter","Richard Kempter","http://dx.doi.org/10.1152/jn.00648.2017","2019-03-01",0,0
"27","Michalikova M.","NA","NA","https://journals.physiology.org/doi/full/10.1152/jn.00463.2017","10.1152/jn.00463.2017","0","1","1","B01","y","y","-","TRUE","Martina Michalikova, Michiel W. H. Remme, Richard Kempter","Richard Kempter","http://dx.doi.org/10.1152/jn.00463.2017","2018-10-01",0,0
"29","Moreno-Velasquez L.","2020 may 26","https://www.biorxiv.org/content/10.1101/868075v2","https://www.eneuro.org/content/early/2020/05/26/ENEURO.0083-20.2020.long","10.1523/eneuro.0083-20.2020","0","1","NA","A01/A02","y","y","https://www.biorxiv.org/content/10.1101/868075v2","TRUE","Laura Moreno-Velasquez, Hung Lo, Stephen Lenzi, Malte Kaehne, Jörg Breustedt, Dietmar Schmitz, Sten Rüdiger, Friedrich W. Johenning","Dietmar Schmitz,","http://dx.doi.org/10.1523/eneuro.0083-20.2020","2020-05",0,0
"37","Raffington L.","NA","NA","https://www.sciencedirect.com/science/article/abs/pii/S0022096519304977?via%3Dihub","10.1016/j.jecp.2020.104924","1","0","NA","B04","y","n","-","FALSE","Laurel Raffington, Johannes Falck, Christine Heim, Mara Mather, Yee Lee Shing","Yee Lee Shing","http://dx.doi.org/10.1016/j.jecp.2020.104924","2020-11",0,0
"38","Rao R.P.","2019 june 18","NA","https://www.sciencedirect.com/science/article/pii/S221112471930720X?via%3Dihub","10.1016/j.celrep.2019.05.081","0","1","NA","A03","y","y","-","TRUE","Rajnish P. Rao, Moritz von Heimendahl, Viktor Bahr, Michael Brecht","Michael Brecht","http://dx.doi.org/10.1016/j.celrep.2019.05.081","2019-06",0,0
"39","Reifenstein, E","2020 april 15","https://www.biorxiv.org/content/10.1101/2020.04.13.039826v1","NA","10.1101/2020.04.13.039826","0","1","NA","A01","y","Preprint","https://www.biorxiv.org/content/10.1101/2020.04.13.039826v1","TRUE","Eric T. Reifenstein, Richard Kempter","Richard Kempter","http://dx.doi.org/10.1101/2020.04.13.039826","2020-04-15",0,0
"40","Schwarz C.","2020 july 3","NA","https://www.sciencedirect.com/science/article/pii/S1053811920306182?via%3Dihub","10.1016/j.neuroimage.2020.117132","0","1","NA","B03","n","y","-","TRUE","Claudia Schwarz, Nora Horn, Gloria Benson, Isabel Wrachtrup Calzado, Katharina Wurdack, Raimund Pechlaner, Ulrike Grittner, Miranka Wirth, Agnes Flöel","Agnes Flöel","http://dx.doi.org/10.1016/j.neuroimage.2020.117132","2020-11",0,0
"41","Sehara K.","43752","NA","https://www.eneuro.org/content/early/2019/10/14/ENEURO.0147-19.2019.full","10.1523/eneuro.0147-19.2019","0","1","NA","A04","y","y","-","TRUE","Keisuke Sehara, Viktor Bahr, Ben Mitchinson, Martin J. Pearson, Matthew E. Larkum, Robert N. S. Sachdev","Matthew E. Larkum","http://dx.doi.org/10.1523/eneuro.0147-19.2019","2019-10-14",0,0
"42","Shen K.","NA","https://www.biorxiv.org/content/10.1101/480905v2","https://www.nature.com/articles/s41597-019-0129-z","10.1038/s41597-019-0129-z","0","1","NA","B06","y","y","https://www.biorxiv.org/content/10.1101/480905v2","TRUE","Kelly Shen, Gleb Bezgin, Michael Schirner, Petra Ritter, Stefan Everling, Anthony R. McIntosh","Petra Ritter","http://dx.doi.org/10.1038/s41597-019-0129-z","2019-07-17",0,0
"57","von der Hagen M.","NA","NA","https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0039-1695787","10.1055/s-0039-1695787","1","0","??","B04","y","y","-","FALSE","Maja von der Hagen, Lena-Luise Becker, Thomas F. Wienker, Martin Smitka, Luciana Musante, Hans-Hilger Ropers, Angela Huebner, Hao Hu, Angela M. Kaindl","Angela M. Kaindl","http://dx.doi.org/10.1055/s-0039-1695787","2019-10-18",0,0
"58","Woitkuhn J.","NA","NA","https://www.tandfonline.com/doi/abs/10.1080/01677063.2019.1710146?journalCode=ineg20","10.1080/01677063.2019.1710146","1","0","NA","A08","y","y","-","FALSE","Jennifer Woitkuhn, Anatoli Ender, Christine B. Beuschel, Marta Maglione, Tanja Matkovic-Rachid, Sheng Huang, Martin Lehmann, Joerg R. P. Geiger, Stephan J. Sigrist","Stephan J. Sigrist","http://dx.doi.org/10.1080/01677063.2019.1710146","2020-01-02",0,0
"59","Zaqout S.","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1111/ahg.12343","10.1111/ahg.12343","0","1","NA","B04","y","y","-","TRUE","Sami Zaqout, Ethiraj Ravindran, Gisela Stoltenburg‐Didinger, Angela M. Kaindl","Angela M. Kaindl","http://dx.doi.org/10.1111/ahg.12343","2019-07-29",0,0
"2","Aru J","NA","NA","NA","NA","NA","NA","NA","A04","NA","NA","Trends Cognitive Sci","NA","NA",,"NA","NA",,
"13","Evangelista R.","NA","NA","NA","NA","0","1","NA","A01","n","n","NA","NA","NA",,"NA","NA",,
